topicID	numTokensOfTopic	topicInAuthor	authorInTopic	author
64	133	0.000365	0.000935	Burroughs, Edgar Rice
32	129	0.000354	0.000273	Burroughs, Edgar Rice
52	123	0.000338	0.000304	Burroughs, Edgar Rice
20	101	0.000278	0.000458	Burroughs, Edgar Rice
55	91	0.000250	0.000188	Burroughs, Edgar Rice
59	79	0.000217	0.000232	Burroughs, Edgar Rice
67	74	0.000203	0.000487	Burroughs, Edgar Rice
24	71	0.000195	0.000174	Burroughs, Edgar Rice
49	56	0.000154	0.000173	Burroughs, Edgar Rice
33	50	0.000137	0.000352	Burroughs, Edgar Rice
74	46	0.000126	0.000139	Burroughs, Edgar Rice
11	41	0.000113	0.000150	Burroughs, Edgar Rice
66	31	0.000085	0.000160	Burroughs, Edgar Rice
71	28	0.000077	0.000123	Burroughs, Edgar Rice
20	53307	0.304472	0.241491	Burgess, Anthony
28	11107	0.063440	0.002205	Burgess, Anthony
53	10723	0.061246	0.002863	Burgess, Anthony
73	8437	0.048189	0.003875	Burgess, Anthony
40	7466	0.042643	0.004792	Burgess, Anthony
65	6980	0.039867	0.002554	Burgess, Anthony
10	5913	0.033773	0.002777	Burgess, Anthony
57	4846	0.027679	0.004866	Burgess, Anthony
23	3634	0.020756	0.001237	Burgess, Anthony
2	3588	0.020493	0.004308	Burgess, Anthony
70	3481	0.019882	0.001053	Burgess, Anthony
50	3346	0.019111	0.002015	Burgess, Anthony
69	3210	0.018334	0.004095	Burgess, Anthony
39	3138	0.017923	0.000875	Burgess, Anthony
41	3029	0.017301	0.001109	Burgess, Anthony
35	2932	0.016747	0.002636	Burgess, Anthony
3	2725	0.015564	0.002653	Burgess, Anthony
17	2508	0.014325	0.001051	Burgess, Anthony
48	2468	0.014096	0.000954	Burgess, Anthony
15	2251	0.012857	0.001963	Burgess, Anthony
1	2169	0.012389	0.001493	Burgess, Anthony
0	2120	0.012109	0.001220	Burgess, Anthony
47	1974	0.011275	0.000751	Burgess, Anthony
14	1845	0.010538	0.004237	Burgess, Anthony
6	1501	0.008573	0.000986	Burgess, Anthony
7	1491	0.008516	0.000862	Burgess, Anthony
54	1366	0.007802	0.001791	Burgess, Anthony
19	1295	0.007397	0.001361	Burgess, Anthony
61	1286	0.007345	0.001270	Burgess, Anthony
42	1278	0.007300	0.003451	Burgess, Anthony
26	1004	0.005735	0.000986	Burgess, Anthony
25	841	0.004804	0.000321	Burgess, Anthony
13	760	0.004341	0.001153	Burgess, Anthony
9	756	0.004318	0.000637	Burgess, Anthony
27	733	0.004187	0.000852	Burgess, Anthony
36	646	0.003690	0.000374	Burgess, Anthony
63	625	0.003570	0.002094	Burgess, Anthony
51	618	0.003530	0.000658	Burgess, Anthony
34	616	0.003518	0.001216	Burgess, Anthony
21	578	0.003301	0.000488	Burgess, Anthony
68	533	0.003044	0.000362	Burgess, Anthony
29	465	0.002656	0.000306	Burgess, Anthony
18	445	0.002542	0.000251	Burgess, Anthony
11	423	0.002416	0.001547	Burgess, Anthony
38	410	0.002342	0.000710	Burgess, Anthony
62	387	0.002210	0.000949	Burgess, Anthony
44	360	0.002056	0.000227	Burgess, Anthony
55	332	0.001896	0.000686	Burgess, Anthony
72	301	0.001719	0.000928	Burgess, Anthony
46	288	0.001645	0.000435	Burgess, Anthony
37	244	0.001394	0.000881	Burgess, Anthony
45	234	0.001337	0.000238	Burgess, Anthony
4	234	0.001337	0.000289	Burgess, Anthony
5	213	0.001217	0.000455	Burgess, Anthony
31	179	0.001022	0.000649	Burgess, Anthony
64	160	0.000914	0.001125	Burgess, Anthony
22	144	0.000822	0.000453	Burgess, Anthony
43	120	0.000685	0.000808	Burgess, Anthony
52	120	0.000685	0.000296	Burgess, Anthony
