topicID	numTokens	proportionOfTopic	proportionOfWord	word
2	2690	0.003230	0.218699	library
55	5141	0.010628	0.413264	shit
55	4203	0.008689	0.242948	hey
55	4072	0.008418	0.176048	yeah
55	3698	0.007645	0.049939	big
55	3697	0.007643	0.739400	gonna
55	3153	0.006518	0.266526	guy
55	2830	0.005850	0.996479	fuckin
55	2756	0.005697	0.054241	mouth
55	2709	0.005600	0.370588	fuck
55	2692	0.005565	0.714058	dick
55	2647	0.005472	0.906507	nigger
55	2629	0.005435	0.034506	black
55	2621	0.005418	0.387722	pants
55	2607	0.005389	0.334660	guys
55	2460	0.005086	0.022222	really
55	2423	0.005009	0.063446	pretty
55	2389	0.004939	0.021262	between
55	2199	0.004546	0.960262	cock
55	2077	0.004294	0.017992	sure
55	2074	0.004288	0.082465	somebody
23	38436	0.013082	0.367176	may
23	30039	0.010224	0.254784	does
23	23086	0.007858	0.208170	perhaps
23	21946	0.007470	0.340037	believe
23	19477	0.006629	0.274169	understand
23	17636	0.006003	0.513122	cannot
23	14720	0.005010	0.273250	true
23	14149	0.004816	0.121660	yet
23	13872	0.004722	0.165320	mean
23	13844	0.004712	0.149778	need
23	13733	0.004674	0.206480	myself
23	13383	0.004555	0.264329	question
23	13361	0.004548	0.174403	matter
23	12868	0.004380	0.158786	quite
23	12606	0.004291	0.120898	better
23	12561	0.004275	0.136815	give
23	12455	0.004239	0.105043	things
23	12358	0.004206	0.111635	really
23	12289	0.004183	0.266573	suppose
23	12174	0.004144	0.112608	find
45	20186	0.020528	0.234204	earth
45	17963	0.018268	0.302255	planet
45	14136	0.014376	0.161259	human
45	12329	0.012538	0.100752	world
45	10086	0.010257	0.444709	worlds
45	9212	0.009368	0.081099	life
45	8012	0.008148	0.342247	race
45	8003	0.008139	0.451127	planets
45	7943	0.008078	0.068974	many
45	7651	0.007781	0.330926	galaxy
45	7563	0.007691	0.095480	space
45	6698	0.006812	0.147957	thousand
45	6420	0.006529	0.475204	species
45	5780	0.005878	0.411974	civilization
45	5773	0.005871	0.320011	beings
45	5703	0.005800	0.094311	ago
45	5369	0.005460	0.045178	found
45	4994	0.005079	0.075075	hundred
45	4797	0.004878	0.267242	humans
45	4526	0.004603	0.157426	history
49	3159	0.009733	0.999684	dreyfus
49	2196	0.006766	0.867984	prefect
49	2110	0.006501	0.140013	towards
49	1970	0.006069	0.965686	panoply
49	1847	0.005690	0.019750	ship
49	1823	0.005616	0.020011	already
49	1571	0.004840	0.994304	thalia
49	1439	0.004433	0.076218	machines
49	1375	0.004236	0.875796	oct
49	1372	0.004227	0.455814	habitat
49	1302	0.004011	0.019517	itself
49	1278	0.003937	0.466423	metres
49	1212	0.003734	0.121565	band
49	1169	0.003602	0.124098	core
49	1148	0.003537	0.436502	realised
49	1128	0.003475	0.989474	gaffney
49	1121	0.003454	0.010429	until
49	1105	0.003404	0.420152	aurora
49	1070	0.003297	0.016774	within
49	1045	0.003220	0.014556	inside
70	42798	0.012945	0.352102	voice
70	24720	0.007477	0.418841	nodded
70	19327	0.005846	0.414387	spoke
70	18790	0.005683	0.388384	smiled
70	18667	0.005646	0.233396	sat
70	18453	0.005581	0.156687	moment
70	18370	0.005556	0.455379	smile
70	17778	0.005377	0.160379	room
70	16908	0.005114	0.256182	words
70	15488	0.004685	0.362038	stared
70	14448	0.004370	0.387035	sir
70	14303	0.004326	0.399079	glanced
70	14165	0.004284	0.416618	chair
70	13832	0.004184	0.555725	expression
70	13627	0.004122	0.224276	shook
70	13556	0.004100	0.138652	stood
70	13476	0.004076	0.327485	please
70	13456	0.004070	0.155184	looking
70	13347	0.004037	0.333175	speak
70	12651	0.003827	0.359199	lips
61	15544	0.015353	0.625513	money
61	11065	0.010929	0.166341	hundred
61	9389	0.009273	0.444345	pay
61	8974	0.008864	0.198233	thousand
61	8276	0.008174	0.150363	ten
61	7021	0.006935	0.629122	buy
61	6898	0.006813	0.114395	five
61	6553	0.006472	0.406766	paid
61	5778	0.005707	0.154948	year
61	5580	0.005511	0.584906	price
61	5562	0.005494	0.128127	six
61	5560	0.005492	0.250903	fifty
61	5485	0.005418	0.509758	cost
61	5190	0.005126	0.047220	every
61	5177	0.005113	0.152175	business
61	4951	0.004890	0.071754	four
61	4941	0.004880	0.887074	dollars
61	4642	0.004585	0.685672	sell
61	4600	0.004543	0.039944	many
61	4579	0.004523	0.141677	twenty
7	24101	0.013932	0.850423	trees
7	12666	0.007322	0.670869	tree
7	12009	0.006942	0.738107	forest
7	11624	0.006719	0.692317	grass
7	11098	0.006415	0.205976	sun
7	10685	0.006176	0.200770	ground
7	9703	0.005609	0.583113	leaves
7	9300	0.005376	0.134257	water
7	9116	0.005270	0.463211	river
7	8898	0.005143	0.088160	along
7	8571	0.004954	0.206530	green
7	8181	0.004729	0.158393	sky
7	7957	0.004600	0.234581	wind
7	7789	0.004502	0.068379	small
7	7379	0.004265	0.066340	across
7	6946	0.004015	0.288695	road
7	6837	0.003952	0.063482	day
7	6728	0.003889	0.877184	branches
7	6630	0.003832	0.177891	land
7	6589	0.003809	0.072272	night
43	2288	0.015409	0.999127	nell
43	1933	0.013018	0.952217	gary
43	1401	0.009435	0.843976	caroline
43	1154	0.007772	0.759211	primer
43	967	0.006513	0.948039	kingsley
43	965	0.006499	0.182420	princess
43	936	0.006304	0.517127	herb
43	882	0.005940	0.087936	engineer
43	846	0.005698	0.031126	book
43	845	0.005691	0.007338	many
43	808	0.005442	0.997531	harv
43	797	0.005368	0.161336	chinese
43	742	0.004997	0.133935	engineers
43	706	0.004755	0.713131	shanghai
43	673	0.004533	0.006051	across
43	643	0.004330	0.835065	fiona
43	642	0.004324	0.067366	castle
43	639	0.004304	0.010961	finally
43	631	0.004250	0.450714	atlantis
43	613	0.004128	0.012038	several
52	4241	0.010475	0.049205	earth
52	3734	0.009222	0.950127	ark
52	2257	0.005574	0.153642	mission
52	2057	0.005081	0.086067	crew
52	1973	0.004873	0.024908	space
52	1927	0.004759	0.084443	moon
52	1746	0.004312	0.552532	poole
52	1738	0.004293	0.599310	kelly
52	1705	0.004211	0.327255	venus
52	1638	0.004046	0.095288	project
52	1546	0.003818	0.487697	wilson
52	1527	0.003771	0.608367	kilometres
52	1458	0.003601	0.998630	siobhan
52	1406	0.003473	0.513139	metres
52	1392	0.003438	0.833533	floyd
